"Element Code","Scientific Name.x","Scientific Name Synonyms","English Name.x","English Name Synonyms","Class (English)","Scientific Name.y","English Name.y","BirdNET"
"AAABH01070","Lithobates catesbeianus","Lithobates catesbeiana; Rana catesbeiana","American Bullfrog",NA,"amphibians","Lithobates catesbeianus","American Bullfrog","Lithobates catesbeianus_American Bullfrog"
"AAABH01090","Lithobates clamitans","Rana clamitans","Green Frog",NA,"amphibians","Lithobates clamitans","Green Frog","Lithobates clamitans_Green Frog"
"AAABH01200","Lithobates sylvaticus","Rana sylvatica","Wood Frog",NA,"amphibians","Lithobates sylvaticus","Wood Frog","Lithobates sylvaticus_Wood Frog"
"ABNJB09010","Aix sponsa",NA,"Wood Duck",NA,"birds","Aix sponsa","Wood Duck","Aix sponsa_Wood Duck"
"ABNJB10110","Anas acuta",NA,"Northern Pintail",NA,"birds","Anas acuta","Northern Pintail","Anas acuta_Northern Pintail"
"ABNJB10010","Anas crecca",NA,"Green-winged Teal",NA,"birds","Anas crecca","Eurasian/Green-winged Teal","Anas crecca_Eurasian/Green-winged Teal"
"ABNJB10200","Anas platyrhynchos",NA,"Mallard",NA,"birds","Anas platyrhynchos","Mallard","Anas platyrhynchos_Mallard"
"ABNJB10040","Anas rubripes",NA,"American Black Duck",NA,"birds","Anas rubripes","American Black Duck","Anas rubripes_American Black Duck"
"ABNJB03040","Anser albifrons",NA,"Greater White-fronted Goose",NA,"birds","Anser albifrons","Greater White-fronted Goose","Anser albifrons_Greater White-fronted Goose"
"ABNJB03020","Anser brachyrhynchus",NA,"Pink-footed Goose",NA,"birds","Anser brachyrhynchus","Pink-footed Goose","Anser brachyrhynchus_Pink-footed Goose"
"ABNJB04010","Anser caerulescens","Chen caerulescens","Snow Goose",NA,"birds","Anser caerulescens","Snow Goose","Anser caerulescens_Snow Goose"
"ABNJB04030","Anser canagicus","Chen canagica","Emperor Goose",NA,"birds","Anser canagicus","Emperor Goose","Anser canagicus_Emperor Goose"
"ABNJB04020","Anser rossii","Chen rossii","Ross's Goose",NA,"birds","Anser rossii","Ross's Goose","Anser rossii_Ross's Goose"
"ABNJB11070","Aythya affinis",NA,"Lesser Scaup",NA,"birds","Aythya affinis","Lesser Scaup","Aythya affinis_Lesser Scaup"
"ABNJB11030","Aythya americana",NA,"Redhead",NA,"birds","Aythya americana","Redhead","Aythya americana_Redhead"
"ABNJB11040","Aythya collaris",NA,"Ring-necked Duck",NA,"birds","Aythya collaris","Ring-necked Duck","Aythya collaris_Ring-necked Duck"
"ABNJB11010","Aythya ferina",NA,"Common Pochard",NA,"birds","Aythya ferina","Common Pochard","Aythya ferina_Common Pochard"
"ABNJB11050","Aythya fuligula",NA,"Tufted Duck",NA,"birds","Aythya fuligula","Tufted Duck","Aythya fuligula_Tufted Duck"
"ABNJB11060","Aythya marila",NA,"Greater Scaup",NA,"birds","Aythya marila","Greater Scaup","Aythya marila_Greater Scaup"
"ABNJB11020","Aythya valisineria",NA,"Canvasback",NA,"birds","Aythya valisineria","Canvasback","Aythya valisineria_Canvasback"
"ABNJB05010","Branta bernicla",NA,"Brant",NA,"birds","Branta bernicla","Brent Goose","Branta bernicla_Brent Goose"
"ABNJB05030","Branta canadensis",NA,"Canada Goose",NA,"birds","Branta canadensis","Canada Goose","Branta canadensis_Canada Goose"
"ABNJB05050","Branta hutchinsii",NA,"Cackling Goose",NA,"birds","Branta hutchinsii","Cackling Goose","Branta hutchinsii_Cackling Goose"
"ABNJB18030","Bucephala albeola",NA,"Bufflehead",NA,"birds","Bucephala albeola","Bufflehead","Bucephala albeola_Bufflehead"
"ABNJB18010","Bucephala clangula",NA,"Common Goldeneye",NA,"birds","Bucephala clangula","Common Goldeneye","Bucephala clangula_Common Goldeneye"
"ABNJB18020","Bucephala islandica",NA,"Barrow's Goldeneye",NA,"birds","Bucephala islandica","Barrow's Goldeneye","Bucephala islandica_Barrow's Goldeneye"
"ABNJB16010","Clangula hyemalis",NA,"Long-tailed Duck",NA,"birds","Clangula hyemalis","Long-tailed Duck","Clangula hyemalis_Long-tailed Duck"
"ABNJB02030","Cygnus buccinator",NA,"Trumpeter Swan",NA,"birds","Cygnus buccinator","Trumpeter Swan","Cygnus buccinator_Trumpeter Swan"
"ABNJB02010","Cygnus columbianus",NA,"Tundra Swan",NA,"birds","Cygnus columbianus","Bewick's Swan","Cygnus columbianus_Bewick's Swan"
"ABNJB02020","Cygnus cygnus",NA,"Whooper Swan",NA,"birds","Cygnus cygnus","Whooper Swan","Cygnus cygnus_Whooper Swan"
"ABNJB02040","Cygnus olor",NA,"Mute Swan",NA,"birds","Cygnus olor","Mute Swan","Cygnus olor_Mute Swan"
"ABNJB01010","Dendrocygna bicolor",NA,"Fulvous Whistling-Duck",NA,"birds","Dendrocygna bicolor","Fulvous Whistling-Duck","Dendrocygna bicolor_Fulvous Whistling-Duck"
"ABNJB15010","Histrionicus histrionicus",NA,"Harlequin Duck",NA,"birds","Histrionicus histrionicus","Harlequin Duck","Histrionicus histrionicus_Harlequin Duck"
"ABNJB20010","Lophodytes cucullatus",NA,"Hooded Merganser",NA,"birds","Lophodytes cucullatus","Hooded Merganser","Lophodytes cucullatus_Hooded Merganser"
"ABNJB10180","Mareca americana","Anas americana","American Wigeon",NA,"birds","Mareca americana","American Wigeon","Mareca americana_American Wigeon"
"ABNJB10030","Mareca falcata","Anas falcata","Falcated Duck",NA,"birds","Mareca falcata","Falcated Duck","Mareca falcata_Falcated Duck"
"ABNJB10170","Mareca penelope","Anas penelope","Eurasian Wigeon",NA,"birds","Mareca penelope","Eurasian Wigeon","Mareca penelope_Eurasian Wigeon"
"ABNJB10160","Mareca strepera","Anas strepera","Gadwall",NA,"birds","Mareca strepera","Gadwall","Mareca strepera_Gadwall"
"ABNJB17040","Melanitta americana","Melanitta nigra","Black Scoter",NA,"birds","Melanitta americana","Black Scoter","Melanitta americana_Black Scoter"
"ABNJB17020","Melanitta perspicillata",NA,"Surf Scoter",NA,"birds","Melanitta perspicillata","Surf Scoter","Melanitta perspicillata_Surf Scoter"
"ABNJB19010","Mergellus albellus",NA,"Smew",NA,"birds","Mergellus albellus","Smew","Mergellus albellus_Smew"
"ABNJB21010","Mergus merganser",NA,"Common Merganser",NA,"birds","Mergus merganser","Goosander","Mergus merganser_Goosander"
"ABNJB21020","Mergus serrator",NA,"Red-breasted Merganser",NA,"birds","Mergus serrator","Red-breasted Merganser","Mergus serrator_Red-breasted Merganser"
"ABNJB22030","Oxyura jamaicensis",NA,"Ruddy Duck",NA,"birds","Oxyura jamaicensis","Ruddy Duck","Oxyura jamaicensis_Ruddy Duck"
"ABNJB12010","Somateria mollissima",NA,"Common Eider",NA,"birds","Somateria mollissima","Common Eider","Somateria mollissima_Common Eider"
"ABNJB12020","Somateria spectabilis",NA,"King Eider",NA,"birds","Somateria spectabilis","King Eider","Somateria spectabilis_King Eider"
"ABNJB10150","Spatula clypeata","Anas clypeata","Northern Shoveler",NA,"birds","Spatula clypeata","Northern Shoveler","Spatula clypeata_Northern Shoveler"
"ABNJB10140","Spatula cyanoptera","Anas cyanoptera","Cinnamon Teal",NA,"birds","Spatula cyanoptera","Cinnamon Teal","Spatula cyanoptera_Cinnamon Teal"
"ABNJB10130","Spatula discors","Anas discors","Blue-winged Teal",NA,"birds","Spatula discors","Blue-winged Teal","Spatula discors_Blue-winged Teal"
"ABNJB10120","Spatula querquedula","Anas querquedula","Garganey",NA,"birds","Spatula querquedula","Garganey","Spatula querquedula_Garganey"
"ABNLC23040","Callipepla californica",NA,"California Quail",NA,"birds","Callipepla californica","California Quail","Callipepla californica_California Quail"
"ABNLC03010","Alectoris chukar",NA,"Chukar",NA,"birds","Alectoris chukar","Chukar","Alectoris chukar_Chukar"
"ABNLC11010","Bonasa umbellus",NA,"Ruffed Grouse",NA,"birds","Bonasa umbellus","Ruffed Grouse","Bonasa umbellus_Ruffed Grouse"
"ABNLC09010","Canachites canadensis","Falcipennis canadensis","Spruce Grouse",NA,"birds","Canachites canadensis","Spruce Grouse","Canachites canadensis_Spruce Grouse"
"ABNLC12010","Centrocercus urophasianus",NA,"Greater Sage-Grouse",NA,"birds","Centrocercus urophasianus","Greater Sage-Grouse","Centrocercus urophasianus_Greater Sage-Grouse"
"ABNLC09030","Dendragapus fuliginosus","Dendragapus obscurus","Sooty Grouse","Blue Grouse","birds","Dendragapus fuliginosus","Sooty Grouse","Dendragapus fuliginosus_Sooty Grouse"
"ABNLC09020","Dendragapus obscurus",NA,"Dusky Grouse","Blue Grouse","birds","Dendragapus obscurus","Dusky Grouse","Dendragapus obscurus_Dusky Grouse"
"ABNLC10010","Lagopus lagopus",NA,"Willow Ptarmigan",NA,"birds","Lagopus lagopus","Red Grouse/Willow Grouse","Lagopus lagopus_Red Grouse/Willow Grouse"
