Scientific Name,English Name (BirdNET),BirdNET,English Name (in BC),Class (if in BC list)
Abroscopus albogularis,Rufous-faced Warbler,Abroscopus albogularis_Rufous-faced Warbler,NA,NA
Abroscopus schisticeps,Black-faced Warbler,Abroscopus schisticeps_Black-faced Warbler,NA,NA
Abroscopus superciliaris,Yellow-bellied Warbler,Abroscopus superciliaris_Yellow-bellied Warbler,NA,NA
Aburria aburri,Wattled Guan,Aburria aburri_Wattled Guan,NA,NA
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Acanthagenys rufogularis_Spiny-cheeked Honeyeater,NA,NA
Acanthidops bairdi,Peg-billed Finch,Acanthidops bairdi_Peg-billed Finch,NA,NA
Acanthis cabaret,Lesser Redpoll,Acanthis cabaret_Lesser Redpoll,NA,NA
Acanthis flammea,Common Redpoll,Acanthis flammea_Common Redpoll,Common Redpoll,birds
Acanthis hornemanni,Arctic Redpoll,Acanthis hornemanni_Arctic Redpoll,Hoary Redpoll,birds
Acanthisitta chloris,Rifleman,Acanthisitta chloris_Rifleman,NA,NA
Acanthiza apicalis,Inland Thornbill,Acanthiza apicalis_Inland Thornbill,NA,NA
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Acanthiza chrysorrhoa_Yellow-rumped Thornbill,NA,NA
Acanthiza ewingii,Tasmanian Thornbill,Acanthiza ewingii_Tasmanian Thornbill,NA,NA
Acanthiza inornata,Western Thornbill,Acanthiza inornata_Western Thornbill,NA,NA
Acanthiza lineata,Striated Thornbill,Acanthiza lineata_Striated Thornbill,NA,NA
Acanthiza nana,Yellow Thornbill,Acanthiza nana_Yellow Thornbill,NA,NA
Acanthiza pusilla,Brown Thornbill,Acanthiza pusilla_Brown Thornbill,NA,NA
Acanthiza reguloides,Buff-rumped Thornbill,Acanthiza reguloides_Buff-rumped Thornbill,NA,NA
Acanthiza uropygialis,Chestnut-rumped Thornbill,Acanthiza uropygialis_Chestnut-rumped Thornbill,NA,NA
Acanthorhynchus superciliosus,Western Spinebill,Acanthorhynchus superciliosus_Western Spinebill,NA,NA
Acanthorhynchus tenuirostris,Eastern Spinebill,Acanthorhynchus tenuirostris_Eastern Spinebill,NA,NA
Accipiter badius,Shikra,Accipiter badius_Shikra,NA,NA
Accipiter bicolor,Bicoloured Hawk,Accipiter bicolor_Bicoloured Hawk,NA,NA
Accipiter cirrocephalus,Collared Sparrowhawk,Accipiter cirrocephalus_Collared Sparrowhawk,NA,NA
Accipiter atricapillus,NA,NA,American Goshawk,birds
Accipiter fasciatus,Brown Goshawk,Accipiter fasciatus_Brown Goshawk,NA,NA
Accipiter gentilis,Eurasian Goshawk,Accipiter gentilis_Eurasian Goshawk,NA,NA
Accipiter gularis,Japanese Sparrowhawk,Accipiter gularis_Japanese Sparrowhawk,NA,NA
Accipiter hiogaster,Variable Goshawk,Accipiter hiogaster_Variable Goshawk,NA,NA
Accipiter melanoleucus,Black Goshawk,Accipiter melanoleucus_Black Goshawk,NA,NA
Accipiter minullus,Little Sparrowhawk,Accipiter minullus_Little Sparrowhawk,NA,NA
Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus_Eurasian Sparrowhawk,NA,NA
Accipiter novaehollandiae,Grey Goshawk,Accipiter novaehollandiae_Grey Goshawk,NA,NA
Accipiter poliogaster,Grey-bellied Hawk,Accipiter poliogaster_Grey-bellied Hawk,NA,NA
Accipiter soloensis,Chinese Sparrowhawk,Accipiter soloensis_Chinese Sparrowhawk,NA,NA
Accipiter atricapillus atricapillus,NA,NA,"American Goshawk, atricapillus subspecies",birds
Accipiter superciliosus,Tiny Hawk,Accipiter superciliosus_Tiny Hawk,NA,NA
Accipiter tachiro,African Goshawk,Accipiter tachiro_African Goshawk,NA,NA
Accipiter trinotatus,Spot-tailed Goshawk,Accipiter trinotatus_Spot-tailed Goshawk,NA,NA
Accipiter trivirgatus,Crested Goshawk,Accipiter trivirgatus_Crested Goshawk,NA,NA
Accipiter virgatus,Besra,Accipiter virgatus_Besra,NA,NA
Aceros nipalensis,Rufous-necked Hornbill,Aceros nipalensis_Rufous-necked Hornbill,NA,NA
Achaetops pycnopygius,Rockrunner,Achaetops pycnopygius_Rockrunner,NA,NA
Acridotheres burmannicus,Burmese Myna,Acridotheres burmannicus_Burmese Myna,NA,NA
Acridotheres cristatellus,Crested Myna,Acridotheres cristatellus_Crested Myna,NA,NA
Acridotheres fuscus,Jungle Myna,Acridotheres fuscus_Jungle Myna,NA,NA
Acridotheres ginginianus,Bank Myna,Acridotheres ginginianus_Bank Myna,NA,NA
Acridotheres grandis,Great Myna,Acridotheres grandis_Great Myna,NA,NA
Acridotheres javanicus,Javan Myna,Acridotheres javanicus_Javan Myna,NA,NA
Acridotheres tristis,Common Myna,Acridotheres tristis_Common Myna,NA,NA
Acris crepitans,Northern Cricket Frog,Acris crepitans_Northern Cricket Frog,NA,NA
Acris gryllus,Southern Cricket Frog,Acris gryllus_Southern Cricket Frog,NA,NA
Acrobatornis fonsecai,Pink-legged Graveteiro,Acrobatornis fonsecai_Pink-legged Graveteiro,NA,NA
Acrocephalus agricola,Paddyfield Warbler,Acrocephalus agricola_Paddyfield Warbler,NA,NA
Acrocephalus arundinaceus,Great Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler,NA,NA
Acrocephalus australis,Australian Reed Warbler,Acrocephalus australis_Australian Reed Warbler,NA,NA
Acrocephalus baeticatus,African Reed Warbler,Acrocephalus baeticatus_African Reed Warbler,NA,NA
Acrocephalus bistrigiceps,Black-browed Reed Warbler,Acrocephalus bistrigiceps_Black-browed Reed Warbler,NA,NA
Acrocephalus concinens,Blunt-winged Warbler,Acrocephalus concinens_Blunt-winged Warbler,NA,NA
Acrocephalus dumetorum,Blyth's Reed Warbler,Acrocephalus dumetorum_Blyth's Reed Warbler,NA,NA
Acrocephalus gracilirostris,Lesser Swamp Warbler,Acrocephalus gracilirostris_Lesser Swamp Warbler,NA,NA
Acrocephalus griseldis,Basra Reed Warbler,Acrocephalus griseldis_Basra Reed Warbler,NA,NA
Acrocephalus melanopogon,Moustached Warbler,Acrocephalus melanopogon_Moustached Warbler,NA,NA
Acrocephalus newtoni,Madagascar Swamp Warbler,Acrocephalus newtoni_Madagascar Swamp Warbler,NA,NA
Acrocephalus orientalis,Oriental Reed Warbler,Acrocephalus orientalis_Oriental Reed Warbler,NA,NA
Acrocephalus paludicola,Aquatic Warbler,Acrocephalus paludicola_Aquatic Warbler,NA,NA
Acrocephalus palustris,Marsh Warbler,Acrocephalus palustris_Marsh Warbler,NA,NA
Acrocephalus rufescens,Greater Swamp Warbler,Acrocephalus rufescens_Greater Swamp Warbler,NA,NA
Acrocephalus schoenobaenus,Sedge Warbler,Acrocephalus schoenobaenus_Sedge Warbler,NA,NA
Acrocephalus scirpaceus,Common Reed Warbler,Acrocephalus scirpaceus_Common Reed Warbler,NA,NA
Acrocephalus stentoreus,Clamorous Reed Warbler,Acrocephalus stentoreus_Clamorous Reed Warbler,NA,NA
Acrocephalus tangorum,Manchurian Reed Warbler,Acrocephalus tangorum_Manchurian Reed Warbler,NA,NA
Acropternis orthonyx,Ocellated Tapaculo,Acropternis orthonyx_Ocellated Tapaculo,NA,NA
Actenoides concretus,Rufous-collared Kingfisher,Actenoides concretus_Rufous-collared Kingfisher,NA,NA
Actenoides lindsayi,Spotted Kingfisher,Actenoides lindsayi_Spotted Kingfisher,NA,NA
Actenoides monachus,Green-backed Kingfisher,Actenoides monachus_Green-backed Kingfisher,NA,NA
Actinodura cyanouroptera,Blue-winged Minla,Actinodura cyanouroptera_Blue-winged Minla,NA,NA
Actinodura egertoni,Rusty-fronted Barwing,Actinodura egertoni_Rusty-fronted Barwing,NA,NA
Actinodura nipalensis,Hoary-throated Barwing,Actinodura nipalensis_Hoary-throated Barwing,NA,NA
Actinodura ramsayi,Spectacled Barwing,Actinodura ramsayi_Spectacled Barwing,NA,NA
Actinodura strigula,Chestnut-tailed Minla,Actinodura strigula_Chestnut-tailed Minla,NA,NA
Actinodura waldeni,Streak-throated Barwing,Actinodura waldeni_Streak-throated Barwing,NA,NA
Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos_Common Sandpiper,NA,NA
Accipiter atricapillus laingi,NA,NA,"American Goshawk, laingi subspecies",birds
Actophilornis africanus,African Jacana,Actophilornis africanus_African Jacana,NA,NA
